"Wiss_Gem"	"Wiss_Bet"	"Gem_Bet"
-9	-9	-6
1	1	1
-5	-6	-6
1	-4	-4
1	1	1
-5	-5	1
1	4	1
1	1	1
1	1	1
5	6	3
3	3	-3
4	6	-7
1	1	1
1	-2	-4
1	1	1
1	-5	1
1	1	-7
1	1	1
-9	-7	1
1	1	1
1	1	-4
1	1	1
1	1	1
1	1	1
5	1	-7
1	1	1
1	-7	-8
1	1	-7
1	1	1
-6	1	6
6	-7	1
1	-6	-7
1	1	1
-7	-7	-7
4	-4	-4
5	4	1
5	-6	-6
1	-6	-5
7	-7	-7
1	1	-6
6	1	-5
5	1	-4
1	1	1
7	1	-7
-5	1	-7
