CASE	QUESTNNR	MODE	AU01	AU02	AU03	RU01_01	RU02_01	RU03_01	RU04_01	RU05_01	RU06_01	AS01	AS02	AS03	RS01_01	RS02_01	RS03_01	RS04_01	RS05_01	RS06_01	AW01	AW02	AW03	RW01_01	RW02_01	RW03_01	RW04_01	RW05_01	RW06_01	AK01	AK02	AK03	RK01_01	RK02_01	RK03_01	RK04_01	RK05_01	RK06_01	KD01	KD04	KD04_01	KD04_02	KD04_03	KD05	KD10	KD10_01	KD10_02	KD10_05	KD10_03	KD10_04	TIME001	TIME002	TIME003	TIME004	TIME005	TIME006	TIME007	TIME008	TIME009	TIME010	TIME011	TIME012	TIME013	TIME014	TIME015	TIME016	TIME017	TIME018	TIME019	TIME020	TIME021	TIME022	TIME023	TIME024	TIME025	TIME026	TIME027	TIME028	TIME029	TIME030	TIME031	TIME032	TIME033	TIME034	TIME035	TIME036	TIME037	TIME038	TIME039	TIME040	TIME041	TIME042	TIME043	TIME044	TIME_SUM	FINISHED	Q_VIEWER	LASTPAGE	MAXPAGE
313	FB3	interview	2	2	2		3		8		8	1	1	1	3		3		3		2	1	1		5	5		6		2	1	1		6	6		6		1	1	F	F	T	4	1	F	F	F	T	F	20	12	13		16	9	8		8	6		16	21		11	10		6	5		3	5	5	13		4	5		6	4		16	116		13	20	200		8	24		10	78	806	381	T	F	44	44
319	FB3	interview	2	-1	1		3			3		1	-1	2	3					3	-1	-1	-1							-1	-1	-1							2	1	T	F	F	4	1	T	F	F	F	F	7	4	35			21			4			3	34		9	13			6	2		3	8	5		7			7		3	2	10			8			3			2	26	28	242	T	F	44	44
322	FB3	interview	2	2	2		4		7		6	1	1	1	3		3		3		2	1	1		7	3		5		1	1	2	3		8			4	1	1	F	F	T	4	2	F	F	F	T	T	780	20	23	7		8	2		17		8	2	687		8	10		7	8		5	10	13	5		12	4		32	3		7	4		3	12	6		4	3		3	80	52	395	T	F	44	44
329	FB3	interview	-1	-1	-1							-1	1	1			4		4		-1	-1	-1							-1	1	1			5		3		1	1	F	T	F	1	1	F	F	F	T	F	35	24	52			13	36		40	5		15	53			53			13			13	58			27	4		67	5		8	27			14			7			3	61	26	569	T	F	44	44
334	FB3	interview	-1	2	-1				3			2	2	1		1		6	3		2	1	1		6	3		3		2	1	1		3	3		6		2	1	T	F	F	1	1	F	F	F	F	T	36	22	60		25	36	10		18	3		20	49			30		5	29			3	50		5	16		5	22	6		14	10		6	30	5		10	7		5	87	34	628	T	F	44	44
337	FB3	interview	-1	-1	1					5		-1	-1	-1							-1	1	-1			5				2	1	1		6	7		8		1	1	F	F	T	4	1	F	F	F	T	F	6	12	20		1587	10	6		7	3		8	10			14			9	7		2	6			16			10			2	15			9	5		6			3	40	26	252	T	F	44	44
339	FB3	interview	-1	-1	-1							2	-1	-1		2					-1	-1	-1							-1	-1	-1							1	1	F	F	T	1	1	F	F	F	F	T	6	7	12			11			3			3	17			13			9			2	27		16	8			6			1	41			6			3			2	70	15	278	T	F	44	44
342	FB3	interview	2	2	-1		5		4			-1	1	1			6		6		-1	-1	-1							-1	-1	-1							1	1	T	F	F	3	1	T	F	F	F	F	38	8	44			48			11			5	46		26	23		16	8			9	32			16	15		17	6		6	33			50			10			2	47	81	518	T	F	44	44
346	FB3	interview	-1	-1	-1							-1	-1	-1							-1	-1	-1							-1	-1	-1							2	1	T	F	F	4	1	F	F	F	F	T	20	7	23			16			17			9	24			12			16			11	24			11			15			9	10			5			7			5	105	84	430	T	F	44	44
351	FB3	interview	-1	-1	-1							-1	-1	-1							-1	-1	-1							-1	1	1			3		3		1	1	T	F	F	3	1	F	F	F	F	T	74	17	64			40	37		23	3		11	37			57			16			6	37			13			30			10	25			21			40			6	165	741	594	T	F	44	44
364	FB3	interview	-1	2	2				2		2	-1	1	1			6		6		2	2	-1		2		6			-1	-1	-1							2	-1	F	F	F	4	1	F	F	F	F	T	3	6	14			13			3			3	239			15		12	16		7	8	6			4	10		6	4		3	8		2	6		4	7			2	106	24	302	T	F	44	44
367	FB3	interview	-1	-1	-1							-1	-1	-1							-1	1	1			6		6		-1	-1	-1							1	1	T	F	F	4	1	F	T	F	F	F	34	28	40			40			10			10	13			25			14			5	58			10			11			2	7			26	32		15	15		2	58	291	461	T	F	44	44
368	FB3	interview	-1	2	-1				5			2	2	-1		6		5			-1	1	1			6		6		1	-1	2	6					5	2	1	F	T	F	-1	1	F	F	F	T	F	8	10	20	31		25			29		3	7	51			45		13	15			3	16		4	10		1	19			2	13			8	2		19	4		2	73	27	428	T	F	44	44
385	FB3	interview	2	2	1		6		4	5		-1	-1	-1							2	2	1		5		6	6		-1	1	-1			5				1	1	F	F	T	1	1	F	F	F	T	F	5	5	33			6	20		8			4	18		4	14		3	9	4		2	29			6			6			1	22		2	6		6	7	3		2	42	17	284	T	F	44	44
390	FB3	interview	-1	2	1				3	3		2	2	-1		6		6			1	2	2	3			5		5	-1	-1	-1							1	1	T	F	F	1	1	F	F	F	F	T	6	13	19			35			10			4	36			15		18	20	3		3	11		3	8		3	11			1	40	4		6		3	8		4	2	83	27	385	T	F	44	44
398	FB3	interview	2	2	-1		8		8			2	1	1		2	5		3		2	2	2		3		6		5	2	2	1		6		3	6		2	1	F	T	F	4	1	F	F	F	T	F	16	14	12		25	28		7	9	8		12	21		16	24		5	16			10	27		6	23	5		13	4		12	22		3	11		6	7		4	3	37	63	433	T	F	44	44
403	FB3	interview	-1	1	1			2		4		2	2	1		5		4	4		2	2	1		6		3	6		1	1	1	4		6		6		1	1	T	F	F	1	-1	F	F	F	F	F	278	20	39	22148		17	7		8	4		5	14			13	10		8	3		2	12		3	21		2	7	2		3	4		3	6		3	4	2		2	52	21	296	T	F	44	44
