"Envi"	"Soci"	"Econ"	"CR_crit"	"arr_cr.dum"	"Clim"	"BDiv"	"CiEc"	"CR_env"	"arr_cr.dum"	"KEdu"	"Comm"	"Part"	"CR_soc"	"arr_cr.dum"	"Qual"	"LVCs"	"Affo"	"CR_eco"	"arr_cr.dum"
0.333333333333333	0.333333333333333	0.333333333333333	-3.82835525732813e-16	"1"	0.556783488934607	0.152154964028518	0.291061547036875	0.37559408736819	"0"	0.333333333333333	0.333333333333333	0.333333333333333	-3.82835525732813e-16	"1"	0.333333333333333	0.333333333333333	0.333333333333333	-3.82835525732813e-16	"1"
0.444444444444444	0.444444444444444	0.111111111111111	0	"1"	0.0836154727083401	0.472111034342798	0.444273492948862	0.00318499833072436	"1"	0.333333333333333	0.333333333333333	0.333333333333333	-3.82835525732813e-16	"1"	0.0719274298900146	0.649118004594452	0.278954565515534	0.0559375688558767	"1"
0.333333333333333	0.333333333333333	0.333333333333333	-3.82835525732813e-16	"1"	0.333333333333333	0.333333333333333	0.333333333333333	-3.82835525732813e-16	"1"	0.333333333333333	0.333333333333333	0.333333333333333	-3.82835525732813e-16	"1"	0.333333333333333	0.333333333333333	0.333333333333333	-3.82835525732813e-16	"1"
0.333333333333333	0.333333333333333	0.333333333333333	-3.82835525732813e-16	"1"	0.177493986174356	0.303510347326106	0.518995666499538	0.254120253723508	"0"	0.174810784634581	0.281387576263472	0.543801639101947	1.23195025932966	"0"	0.135387669162756	0.709632137680544	0.1549801931567	0.0157712993876144	"1"
0.444036102456908	0.488724968731811	0.0672389288112809	0.00793337302955266	"1"	0.177493986174356	0.303510347326106	0.518995666499538	0.254120253723508	"0"	0.333333333333333	0.333333333333333	0.333333333333333	-3.82835525732813e-16	"1"	0.0974973474789983	0.51455512949656	0.387947523024441	0.0692240032424878	"1"
0.333333333333333	0.333333333333333	0.333333333333333	-3.82835525732813e-16	"1"	0.333333333333333	0.333333333333333	0.333333333333333	-3.82835525732813e-16	"1"	0.333333333333333	0.333333333333333	0.333333333333333	-3.82835525732813e-16	"1"	0.333333333333333	0.333333333333333	0.333333333333333	-3.82835525732813e-16	"1"
0.473684210526316	0.0526315789473684	0.473684210526316	-3.82835525732813e-16	"1"	0.111111111111111	0.111111111111111	0.777777777777778	-7.65671051465625e-16	"1"	0.777777777777778	0.111111111111111	0.111111111111111	0	"1"	0.450702658230211	0.490085224619762	0.059212117150027	0.00605324580166496	"1"
0.556783488934607	0.291061547036875	0.152154964028518	0.375594087368191	"0"	0.333333333333333	0.333333333333333	0.333333333333333	-3.82835525732813e-16	"1"	0.137848726913196	0.732430654526105	0.129720618560699	0.00318499833072436	"1"	0.333333333333333	0.333333333333333	0.333333333333333	-3.82835525732813e-16	"1"
0.333333333333333	0.333333333333333	0.333333333333333	-3.82835525732813e-16	"1"	0.333333333333333	0.333333333333333	0.333333333333333	-3.82835525732813e-16	"1"	0.466666666666667	0.466666666666667	0.0666666666666667	3.82835525732813e-16	"1"	0.333333333333333	0.333333333333333	0.333333333333333	-3.82835525732813e-16	"1"
0.333333333333333	0.333333333333333	0.333333333333333	-3.82835525732813e-16	"1"	0.333333333333333	0.333333333333333	0.333333333333333	-3.82835525732813e-16	"1"	0.125	0.75	0.125	-3.82835525732813e-16	"1"	0.0909090909090909	0.454545454545455	0.454545454545455	-1.14850657719844e-15	"1"
0.170356496376004	0.0496066281126074	0.780036875511388	0.275446595473503	"0"	0.45227469809388	0.0716036968923828	0.476121605013737	0.00227659586413227	"1"	0.714285714285714	0.142857142857143	0.142857142857143	7.65671051465625e-16	"1"	0.476121605013737	0.45227469809388	0.0716036968923828	0.00227659586413342	"1"
0.539614953329118	0.296960980633101	0.163424066037781	0.316760173259694	"0"	0.0675452244531864	0.733383787891003	0.199070987655811	0.0810475069185619	"1"	0.117475478366107	0.775790966187962	0.10673355544593	0.00793337302955112	"1"	0.333333333333333	0.333333333333333	0.333333333333333	-3.82835525732813e-16	"1"
0.333333333333333	0.333333333333333	0.333333333333333	-3.82835525732813e-16	"1"	0.137848726913196	0.732430654526105	0.129720618560699	0.00318499833072436	"1"	0.333333333333333	0.333333333333333	0.333333333333333	-3.82835525732813e-16	"1"	0.303510347326106	0.177493986174356	0.518995666499538	0.254120253723508	"0"
0.333333333333333	0.333333333333333	0.333333333333333	-3.82835525732813e-16	"1"	0.45227469809388	0.0716036968923828	0.476121605013737	0.00227659586413227	"1"	0.296960980633101	0.163424066037781	0.539614953329118	0.316760173259695	"0"	0.235296343792492	0.0588230022353719	0.705880653972136	0.431034482758622	"0"
0.333333333333333	0.333333333333333	0.333333333333333	-3.82835525732813e-16	"1"	0.209920548666028	0.0603908826216017	0.72968856871237	0.263315967363886	"0"	0.135009079174842	0.584160843876541	0.280830076948617	0.483477310190553	"0"	0.333333333333333	0.333333333333333	0.333333333333333	-3.82835525732813e-16	"1"
0.0909090909090909	0.0909090909090909	0.818181818181818	0	"1"	0.333333333333333	0.333333333333333	0.333333333333333	-3.82835525732813e-16	"1"	0.717064631068748	0.0657692850246297	0.217166083906623	0.316760173259693	"0"	0.202734654686755	0.741863335703385	0.0554020096098592	0.375594087368191	"0"
0.444444444444444	0.111111111111111	0.444444444444444	0	"1"	0.195800353794232	0.310813666358757	0.493385979847011	0.187380669754861	"0"	0.493385979847011	0.195800353794232	0.310813666358757	0.187380669754861	"0"	0.333333333333333	0.333333333333333	0.333333333333333	-3.82835525732813e-16	"1"
