"Klima"	"BioV"	"KlW"	"CR_env"	"arr_cr.dum"	"Wiss"	"Gem"	"Bet"	"CR_soc"	"arr_cr.dum"	"Quali"	"WSK"	"Bez"	"CR_eco"	"arr_cr.dum"	"Oeko"	"Soz"	"Wirt"	"CR_crit"	"arr_cr.dum"
0.72905184998654	0.220796574135012	0.0501515758784478	0.316760173259692	"0"	0.791734526559279	0.159853465676944	0.0484120077637767	0.316760173259695	"0"	0.0530816266668754	0.7716461223594	0.175272250973725	0.316760173259693	"0"	0.774086226960222	0.169947873249346	0.0559658997904324	0.415516750003724	"0"
0.556783488934607	0.152154964028518	0.291061547036875	0.37559408736819	"0"	0.333333333333333	0.333333333333333	0.333333333333333	-3.82835525732813e-16	"1"	0.333333333333333	0.333333333333333	0.333333333333333	-3.82835525732813e-16	"1"	0.333333333333333	0.333333333333333	0.333333333333333	-3.82835525732813e-16	"1"
0.0836154727083401	0.472111034342798	0.444273492948862	0.00318499833072436	"1"	0.333333333333333	0.333333333333333	0.333333333333333	-3.82835525732813e-16	"1"	0.0719274298900146	0.649118004594452	0.278954565515534	0.0559375688558767	"1"	0.444444444444444	0.444444444444444	0.111111111111111	0	"1"
0.333333333333333	0.333333333333333	0.333333333333333	-3.82835525732813e-16	"1"	0.333333333333333	0.333333333333333	0.333333333333333	-3.82835525732813e-16	"1"	0.333333333333333	0.333333333333333	0.333333333333333	-3.82835525732813e-16	"1"	0.333333333333333	0.333333333333333	0.333333333333333	-3.82835525732813e-16	"1"
0.333333333333333	0.333333333333333	0.333333333333333	-3.82835525732813e-16	"1"	0.333333333333333	0.333333333333333	0.333333333333333	-3.82835525732813e-16	"1"	0.333333333333333	0.333333333333333	0.333333333333333	-3.82835525732813e-16	"1"	0.333333333333333	0.333333333333333	0.333333333333333	-3.82835525732813e-16	"1"
0.333333333333333	0.333333333333333	0.333333333333333	-3.82835525732813e-16	"1"	0.459958088881589	0.318917125544763	0.221124785573648	0.116905900567279	"0"	0.333333333333333	0.333333333333333	0.333333333333333	-3.82835525732813e-16	"1"	0.695523237539275	0.229047541262426	0.0754292211982998	0.0658747887807019	"1"
0.177493986174356	0.303510347326106	0.518995666499538	0.254120253723508	"0"	0.174810784634581	0.281387576263472	0.543801639101947	1.23195025932966	"0"	0.135387669162756	0.709632137680544	0.1549801931567	0.0157712993876144	"1"	0.333333333333333	0.333333333333333	0.333333333333333	-3.82835525732813e-16	"1"
0.166944639532131	0.769687581380071	0.0633677790877977	0.15252434650533	"0"	0.694703613856046	0.237585523025964	0.0677108631179895	0.254120253723509	"0"	0.237585523025964	0.694703613856046	0.0677108631179895	0.254120253723507	"0"	0.137848726913196	0.129720618560699	0.732430654526105	0.00318499833072436	"1"
0.444444444444444	0.111111111111111	0.444444444444444	0	"1"	0.333333333333333	0.333333333333333	0.333333333333333	-3.82835525732813e-16	"1"	0.0958518861169254	0.595668167491852	0.308479946391222	0.170065381650014	"0"	0.303510347326106	0.518995666499538	0.177493986174356	0.25412025372351	"0"
0.368060328648929	0.549809100815059	0.0821305705360121	0.0739368028079291	"1"	0.459958312570792	0.318918401841815	0.221123285587393	0.483477310190553	"0"	0.493385979847011	0.195800353794232	0.310813666358757	0.187380669754861	"0"	0.761157702416796	0.166233308564659	0.0726089890185446	0.275446595473503	"0"
0.333333333333333	0.333333333333333	0.333333333333333	-3.82835525732813e-16	"1"	0.333333333333333	0.333333333333333	0.333333333333333	-3.82835525732813e-16	"1"	0.461538461538462	0.0769230769230769	0.461538461538462	0	"1"	0.333333333333333	0.333333333333333	0.333333333333333	-3.82835525732813e-16	"1"
0.166666666666667	0.666666666666667	0.166666666666667	0	"1"	0.444444444444444	0.444444444444444	0.111111111111111	0	"1"	0.156181806435446	0.658644186366873	0.185174007197682	0.0250549713779626	"1"	0.706665824234054	0.241676581314174	0.0516575944517722	0.25412025372351	"0"
0.333333333333333	0.333333333333333	0.333333333333333	-3.82835525732813e-16	"1"	0.333333333333333	0.333333333333333	0.333333333333333	-3.82835525732813e-16	"1"	0.493385979847011	0.195800353794232	0.310813666358757	0.187380669754861	"0"	0.333333333333333	0.333333333333333	0.333333333333333	-3.82835525732813e-16	"1"
0.461538461538462	0.0769230769230769	0.461538461538462	0	"1"	0.120973490382345	0.764112067038517	0.114914442579138	0.00227659586413074	"1"	0.333333333333333	0.333333333333333	0.333333333333333	-3.82835525732813e-16	"1"	0.539614953329118	0.296960980633101	0.163424066037781	0.316760173259694	"0"
0.177493986174356	0.303510347326106	0.518995666499538	0.254120253723508	"0"	0.333333333333333	0.333333333333333	0.333333333333333	-3.82835525732813e-16	"1"	0.0974973474789983	0.51455512949656	0.387947523024441	0.0692240032424878	"1"	0.444036102456908	0.488724968731811	0.0672389288112809	0.00793337302955266	"1"
0.333333333333333	0.333333333333333	0.333333333333333	-3.82835525732813e-16	"1"	0.454545454545455	0.0909090909090909	0.454545454545455	3.82835525732813e-16	"1"	0.0586047667145038	0.701489088558554	0.239906144726942	0.254120253723509	"0"	0.461538461538462	0.461538461538462	0.0769230769230769	-7.65671051465625e-16	"1"
0.333333333333333	0.333333333333333	0.333333333333333	-3.82835525732813e-16	"1"	0.333333333333333	0.333333333333333	0.333333333333333	-3.82835525732813e-16	"1"	0.333333333333333	0.333333333333333	0.333333333333333	-3.82835525732813e-16	"1"	0.333333333333333	0.333333333333333	0.333333333333333	-3.82835525732813e-16	"1"
