"Quali_WSK"	"Quali_Bez"	"WSK_Bez"
1	1	1
4	5	-3
-4	1	1
-6	1	6
-4	1	1
1	1	1
7	7	-5
-7	1	6
6	-7	-7
1	1	1
1	1	1
1	1	1
4	-4	-4
8	7	1
8	7	1
1	1	1
7	1	-6
1	1	1
5	1	1
7	7	7
4	1	3
5	7	7
1	-4	4
6	-4	-4
1	1	1
-2	5	3
5	-5	-5
-5	5	5
5	5	5
1	1	1
1	1	1
-7	7	1
1	-7	-7
1	-7	-4
1	-7	1
8	6	-7
1	1	1
1	1	1
1	1	1
-8	1	1
1	7	1
6	8	1
4	-4	-6
7	7	-6
1	1	1
-8	9	1
7	9	1
1	1	1
7	7	1
1	7	7
7	7	1
-8	-7	-6
4	7	5
9	-7	-7
-8	7	7
