"Clim_Bdiv"	"Clim_CiEc"	"Bdiv_CiEc"
-7	1	1
6	5	1
1	1	1
1	5	1
1	5	1
1	1	1
1	7	7
1	1	1
1	1	1
1	1	1
-6	1	7
8	4	-5
5	1	-6
-6	1	7
-6	6	7
1	1	1
1	4	1
1	3	1
1	1	1
1	6	-6
6	5	-7
1	1	1
1	-4	-4
2	4	4
4	9	9
4	1	-4
5	8	7
1	1	1
1	4	1
1	1	-6
1	1	1
6	5	1
1	1	1
1	1	1
1	3	3
1	1	1
1	6	1
7	5	-6
1	4	-4
9	9	1
1	-3	-5
