"KEdu_Comm"	"KEdu_Part"	"Comm_Part"
1	-3	1
1	1	1
-3	1	-3
1	1	1
1	1	1
6	1	-7
-5	1	5
-6	1	6
7	-5	-6
1	1	1
1	1	-6
1	1	1
4	1	1
-4	-4	-7
-7	-7	5
1	-7	-7
1	1	1
1	-8	-8
6	1	-6
6	7	7
3	-3	-4
1	-7	1
5	-6	-5
-3	-3	-4
1	1	1
1	1	1
7	-7	-7
1	-8	-8
-7	6	7
1	1	1
7	7	1
-4	1	7
1	1	1
-7	1	7
1	1	-5
7	-6	-7
1	-6	-4
1	1	1
1	1	1
1	1	-7
-7	9	9
-4	1	3
1	-5	-7
1	7	8
1	1	1
4	7	1
-9	-7	1
1	1	1
1	1	1
1	1	1
6	5	-6
7	-7	1
1	1	1
-5	5	5
7	8	8
