"Klima_BioV"	"Klima_KlW"	"BioV_KlW"
-6	-8	-8
1	1	1
7	-4	-8
4	1	-4
1	1	1
1	1	1
1	1	-7
-7	5	6
1	1	1
1	5	-5
1	1	1
1	1	1
1	-7	-9
1	1	1
6	1	1
4	7	1
1	1	-6
1	1	1
-7	1	-7
1	1	1
1	1	1
1	1	1
1	1	1
5	1	-5
1	-4	-4
1	1	1
1	1	1
1	1	1
1	1	1
1	1	1
1	4	-5
7	1	1
1	1	1
-6	7	6
1	-6	-6
1	1	1
5	6	5
1	6	1
1	1	1
1	1	-4
1	1	1
4	1	1
7	1	-7
1	1	1
9	1	-9
